1,0,1
4,0,1
5,0,1
0,1,1
2,1,1
10,1,1
1,2,1
3,2,1
15,2,1
2,3,1
4,3,1
20,3,1
0,4,1
3,4,1
25,4,1
0,5,1
6,5,1
9,5,1
5,6,1
7,6,1
29,6,1
6,7,1
8,7,1
41,7,1
7,8,1
9,8,1
37,8,1
5,9,1
8,9,1
11,9,1
1,10,1
11,10,1
14,10,1
9,11,1
10,11,1
12,11,1
11,12,1
13,12,1
36,12,1
12,13,1
14,13,1
32,13,1
10,14,1
13,14,1
16,14,1
2,15,1
16,15,1
19,15,1
14,16,1
15,16,1
17,16,1
16,17,1
18,17,1
31,17,1
17,18,1
19,18,1
52,18,1
15,19,1
18,19,1
21,19,1
3,20,1
21,20,1
24,20,1
19,21,1
20,21,1
22,21,1
21,22,1
23,22,1
51,22,1
22,23,1
24,23,1
47,23,1
20,24,1
23,24,1
26,24,1
4,25,1
26,25,1
29,25,1
24,26,1
25,26,1
27,26,1
26,27,1
28,27,1
46,27,1
27,28,1
29,28,1
42,28,1
6,29,1
25,29,1
28,29,1
31,30,1
34,30,1
53,30,1
17,31,1
30,31,1
32,31,1
13,32,1
31,32,1
33,32,1
32,33,1
34,33,1
35,33,1
30,34,1
33,34,1
55,34,1
33,35,1
36,35,1
39,35,1
12,36,1
35,36,1
37,36,1
8,37,1
36,37,1
38,37,1
37,38,1
39,38,1
40,38,1
35,39,1
38,39,1
56,39,1
38,40,1
41,40,1
44,40,1
7,41,1
40,41,1
42,41,1
28,42,1
41,42,1
43,42,1
42,43,1
44,43,1
45,43,1
40,44,1
43,44,1
57,44,1
43,45,1
46,45,1
49,45,1
27,46,1
45,46,1
47,46,1
23,47,1
46,47,1
48,47,1
47,48,1
49,48,1
50,48,1
45,49,1
48,49,1
58,49,1
48,50,1
51,50,1
54,50,1
22,51,1
50,51,1
52,51,1
18,52,1
51,52,1
53,52,1
30,53,1
52,53,1
54,53,1
50,54,1
53,54,1
59,54,1
34,55,1
56,55,1
59,55,1
39,56,1
55,56,1
57,56,1
44,57,1
56,57,1
58,57,1
49,58,1
57,58,1
59,58,1
54,59,1
55,59,1
58,59,1
